City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,8.810000000000002,76,75,2.06,AR,1682210962
1,guerrero negro,27.9769,-114.0611,19.03000000000003,56,0,7.86,MX,1682211154
2,angoche,-16.2325,39.9086,23.450000000000045,84,18,2.7,MZ,1682211277
3,khorramshahr,30.4397,48.1664,22.980000000000018,68,0,1.03,IR,1682211359
4,cherskiy,68.75,161.3,0.7200000000000273,96,100,1.47,RU,1682211128
5,thompson,55.7435,-97.8558,2.090000000000032,41,75,5.14,CA,1682211131
6,barrow,71.2906,-156.7887,-15.989999999999952,72,0,8.75,US,1682211110
7,virginia beach,36.8529,-75.978,20.57000000000005,92,100,2.06,US,1682211235
8,hermanus,-34.4187,19.2345,16.590000000000032,83,99,6.13,ZA,1682211115
9,eureka,40.8021,-124.1637,17.890000000000043,80,43,2.24,US,1682211044
10,kapaa,22.0752,-159.319,27.33000000000004,78,75,4.63,US,1682211129
11,phan thiet,10.9333,108.1,29.310000000000002,70,16,3.27,VN,1682211479
12,bredasdorp,-34.5322,20.0403,14.32000000000005,80,49,3.55,ZA,1682210958
13,bay roberts,47.5999,-53.2648,3.410000000000025,97,100,5.36,CA,1682211480
14,east london,-33.0153,27.9116,17.870000000000005,55,100,2.23,ZA,1682210957
15,kodiak,57.79,-152.4072,12.730000000000018,24,20,5.66,US,1682211142
16,alofi,-19.0595,-169.9187,27.939999999999998,61,43,6.17,NU,1682211110
17,airai,-8.9266,125.4092,21.220000000000027,68,4,1.64,TL,1682211138
18,lavrentiya,65.5833,-171.0,-2.609999999999957,76,15,2.2,RU,1682211327
19,cape town,-33.9258,18.4232,16.32000000000005,92,100,6.69,ZA,1682211102
20,mataura,-46.1927,168.8643,15.520000000000039,66,100,4.9,NZ,1682211114
21,busselton,-33.65,115.3333,20.590000000000032,55,4,2.19,AU,1682211114
22,touros,-5.1989,-35.4608,25.0,79,38,5.12,BR,1682210986
23,qaanaaq,77.484,-69.3632,-9.96999999999997,94,96,1.65,GL,1682211127
24,mardan,34.2019,72.0525,17.129999999999995,43,0,1.98,PK,1682211482
25,bang saphan,11.2126,99.5117,29.25,68,55,1.35,TH,1682211483
26,prainha,-1.8,-53.48,23.80000000000001,96,100,0.88,BR,1682211483
27,punta arenas,-53.15,-70.9167,10.060000000000002,71,20,11.83,CL,1682211120
28,murray bridge,-35.1167,139.2667,20.620000000000005,54,0,2.96,AU,1682211182
29,ambunti,-4.2365,142.8448,30.25,68,72,0.13,PG,1682211483
30,provideniya,64.3833,-173.3,-0.060000000000002274,79,74,1.19,RU,1682211139
31,bonavista,48.6499,-53.1147,1.0500000000000114,97,100,9.77,CA,1682211129
32,pirkkala,61.4613,23.6323,3.3600000000000136,78,0,2.68,FI,1682211484
33,beyneu,45.3167,55.2,13.400000000000034,64,0,2.63,KZ,1682211118
34,montepuez,-13.1256,38.9997,19.82000000000005,99,100,1.8,MZ,1682211484
35,khandyga,62.6667,135.6,-1.5699999999999932,84,100,2.02,RU,1682211484
36,dikson,73.5069,80.5464,-6.789999999999964,98,100,4.15,RU,1682211119
37,zemio,5.0314,25.1361,20.470000000000027,97,100,1.53,CF,1682211484
38,port lincoln,-34.7333,135.8667,19.350000000000023,68,0,4.38,AU,1682211166
39,hilo,19.7297,-155.09,28.49000000000001,61,75,4.12,US,1682211110
40,sangin,32.0728,64.8359,20.010000000000048,12,3,1.48,AF,1682211484
41,pinas,-3.6667,-79.65,19.810000000000002,98,100,0.87,EC,1682211485
42,albany,42.6001,-73.9662,14.650000000000034,87,99,3.13,US,1682211110
